"species" "gene" "start" "end" "IfEndIsOverlapped" "IfStartIsOverlapped"
"30752" "Mus_terricolor" "ND5" 11739 13572 -23 199
"30753" "Mus_terricolor" "ND6" 13549 14068 74 -23
"30754" "Mus_terricolor" "CytB" 14142 15286 34714 74
"17646" "Mustela_altaica" "ND1" 2743 3699 210 2743
"17647" "Mustela_altaica" "ND2" 3909 4951 386 210
"17648" "Mustela_altaica" "COX1" 5337 6882 138 386
"17649" "Mustela_altaica" "COX2" 7020 7704 71 138
"17650" "Mustela_altaica" "ATP8" 7775 7979 -43 71
"17651" "Mustela_altaica" "ATP6" 7936 8617 -1 -43
"17652" "Mustela_altaica" "COX3" 8616 9400 69 -1
"17653" "Mustela_altaica" "ND3" 9469 9816 68 69
"17654" "Mustela_altaica" "ND4L" 9884 10181 -7 68
"17655" "Mustela_altaica" "ND4" 10174 11552 192 -7
"17656" "Mustela_altaica" "ND5" 11744 13574 -17 192
"17657" "Mustela_altaica" "ND6" 13557 14091 73 -17
"17658" "Mustela_altaica" "CytB" 14164 15304 34696 73
"8530" "Mustela_erminea" "ND1" 3048 4003 212 3048
"8531" "Mustela_erminea" "ND2" 4215 5257 387 212
"8532" "Mustela_erminea" "COX1" 5644 7189 138 387
"8533" "Mustela_erminea" "COX2" 7327 8011 71 138
"8534" "Mustela_erminea" "ATP8" 8082 8286 -43 71
"8535" "Mustela_erminea" "ATP6" 8243 8924 -1 -43
"8536" "Mustela_erminea" "COX3" 8923 9707 69 -1
"8537" "Mustela_erminea" "ND3" 9776 10123 68 69
"8538" "Mustela_erminea" "ND4L" 10191 10488 -7 68
"8539" "Mustela_erminea" "ND4" 10481 11859 192 -7
"8540" "Mustela_erminea" "ND5" 12051 13881 -17 192
"8541" "Mustela_erminea" "ND6" 13864 14398 73 -17
"8542" "Mustela_erminea" "CytB" 14471 15611 34389 73
"15670" "Mustela_eversmannii" "ND1" 2742 3697 211 2742
"15671" "Mustela_eversmannii" "ND2" 3908 4950 389 211
"15672" "Mustela_eversmannii" "COX1" 5339 6884 138 389
"15673" "Mustela_eversmannii" "COX2" 7022 7706 71 138
"15674" "Mustela_eversmannii" "ATP8" 7777 7981 -43 71
"15675" "Mustela_eversmannii" "ATP6" 7938 8619 -1 -43
"15676" "Mustela_eversmannii" "COX3" 8618 9402 69 -1
"15677" "Mustela_eversmannii" "ND3" 9471 9818 68 69
"15678" "Mustela_eversmannii" "ND4L" 9886 10183 -7 68
"15679" "Mustela_eversmannii" "ND4" 10176 11554 201 -7
"15680" "Mustela_eversmannii" "ND5" 11755 13576 -17 201
"15681" "Mustela_eversmannii" "ND6" 13559 14093 73 -17
"15682" "Mustela_eversmannii" "CytB" 14166 15306 34694 73
"11616" "Mustela_frenata" "ND1" 2743 3698 211 2743
"11617" "Mustela_frenata" "ND2" 3909 4951 387 211
"11618" "Mustela_frenata" "COX1" 5338 6883 142 387
"11619" "Mustela_frenata" "COX2" 7025 7709 71 142
"11620" "Mustela_frenata" "ATP8" 7780 7984 -43 71
"11621" "Mustela_frenata" "ATP6" 7941 8622 -1 -43
"11622" "Mustela_frenata" "COX3" 8621 9405 69 -1
"11623" "Mustela_frenata" "ND3" 9474 9821 68 69
"11624" "Mustela_frenata" "ND4L" 9889 10186 -7 68
"11625" "Mustela_frenata" "ND4" 10179 11557 192 -7
"11626" "Mustela_frenata" "ND5" 11749 13579 -17 192
"11627" "Mustela_frenata" "ND6" 13562 14096 73 -17
"11628" "Mustela_frenata" "CytB" 14169 15309 34691 73
"32289" "Mustela_kathiah" "ND1" 2739 3694 212 2739
"32290" "Mustela_kathiah" "ND2" 3906 4948 387 212
"32291" "Mustela_kathiah" "COX1" 5335 6880 138 387
"32292" "Mustela_kathiah" "COX2" 7018 7702 71 138
"32293" "Mustela_kathiah" "ATP8" 7773 7977 -43 71
"32294" "Mustela_kathiah" "ATP6" 7934 8615 -1 -43
"32295" "Mustela_kathiah" "COX3" 8614 9398 69 -1
"32296" "Mustela_kathiah" "ND3" 9467 9814 68 69
"32297" "Mustela_kathiah" "ND4L" 9882 10179 -7 68
"32298" "Mustela_kathiah" "ND4" 10172 11550 201 -7
"32299" "Mustela_kathiah" "ND5" 11751 13572 -17 201
"32300" "Mustela_kathiah" "ND6" 13555 14089 73 -17
"32301" "Mustela_kathiah" "CytB" 14162 15302 34698 73
"15683" "Mustela_nigripes" "ND1" 2742 3698 210 2742
"15684" "Mustela_nigripes" "ND2" 3908 4950 390 210
"15685" "Mustela_nigripes" "COX1" 5340 6885 138 390
"15686" "Mustela_nigripes" "COX2" 7023 7707 71 138
"15687" "Mustela_nigripes" "ATP8" 7778 7982 -43 71
"15688" "Mustela_nigripes" "ATP6" 7939 8620 -1 -43
"15689" "Mustela_nigripes" "COX3" 8619 9403 69 -1
"15690" "Mustela_nigripes" "ND3" 9472 9818 69 69
"15691" "Mustela_nigripes" "ND4L" 9887 10184 -7 69
"15692" "Mustela_nigripes" "ND4" 10177 11555 201 -7
"15693" "Mustela_nigripes" "ND5" 11756 13577 -17 201
"15694" "Mustela_nigripes" "ND6" 13560 14091 76 -17
"15695" "Mustela_nigripes" "CytB" 14167 15307 34693 76
"8361" "Mustela_nivalis" "ND1" 2741 3696 211 2741
"8362" "Mustela_nivalis" "ND2" 3907 4949 387 211
"8363" "Mustela_nivalis" "COX1" 5336 6881 138 387
"8364" "Mustela_nivalis" "COX2" 7019 7703 71 138
"8365" "Mustela_nivalis" "ATP8" 7774 7978 -43 71
"8366" "Mustela_nivalis" "ATP6" 7935 8616 -1 -43
"8367" "Mustela_nivalis" "COX3" 8615 9399 69 -1
"8368" "Mustela_nivalis" "ND3" 9468 9815 68 69
"8369" "Mustela_nivalis" "ND4L" 9883 10180 -7 68
"8370" "Mustela_nivalis" "ND4" 10173 11551 192 -7
"8371" "Mustela_nivalis" "ND5" 11743 13573 -17 192
"8372" "Mustela_nivalis" "ND6" 13556 14090 73 -17
"8373" "Mustela_nivalis" "CytB" 14163 15303 34697 73
"4381" "Mustela_putorius" "ND1" 2742 3697 211 2742
"4382" "Mustela_putorius" "ND2" 3908 4950 392 211
"4383" "Mustela_putorius" "COX1" 5342 6887 138 392
"4384" "Mustela_putorius" "COX2" 7025 7709 71 138
"4385" "Mustela_putorius" "ATP8" 7780 7984 -43 71
"4386" "Mustela_putorius" "ATP6" 7941 8622 -1 -43
"4387" "Mustela_putorius" "COX3" 8621 9405 69 -1
"4388" "Mustela_putorius" "ND3" 9474 9821 68 69
"4389" "Mustela_putorius" "ND4L" 9889 10186 -7 68
"4390" "Mustela_putorius" "ND4" 10179 11557 192 -7
"4391" "Mustela_putorius" "ND5" 11749 13579 -17 192
"4392" "Mustela_putorius" "ND6" 13562 14096 73 -17
"4393" "Mustela_putorius" "CytB" 14169 15309 34691 73
"8374" "Mustela_sibirica" "ND1" 2741 3696 211 2741
"8375" "Mustela_sibirica" "ND2" 3907 4949 390 211
"8376" "Mustela_sibirica" "COX1" 5339 6884 138 390
"8377" "Mustela_sibirica" "COX2" 7022 7706 71 138
"8378" "Mustela_sibirica" "ATP8" 7777 7981 -43 71
"8379" "Mustela_sibirica" "ATP6" 7938 8619 -1 -43
"8380" "Mustela_sibirica" "COX3" 8618 9402 69 -1
"8381" "Mustela_sibirica" "ND3" 9471 9818 68 69
"8382" "Mustela_sibirica" "ND4L" 9886 10183 -7 68
"8383" "Mustela_sibirica" "ND4" 10176 11554 192 -7
"8384" "Mustela_sibirica" "ND5" 11746 13576 -17 192
"8385" "Mustela_sibirica" "ND6" 13559 14093 73 -17
"8386" "Mustela_sibirica" "CytB" 14166 15306 34694 73
"17334" "Mustelus_griseus" "ND1" 2835 3810 212 2835
"17335" "Mustelus_griseus" "ND2" 4022 5067 390 212
"17336" "Mustelus_griseus" "COX1" 5457 7014 151 390
"17337" "Mustelus_griseus" "COX2" 7165 7856 75 151
"17338" "Mustelus_griseus" "ATP8" 7931 8099 -10 75
"17339" "Mustelus_griseus" "ATP6" 8089 8773 -1 -10
"17340" "Mustelus_griseus" "COX3" 8772 9558 72 -1
"17341" "Mustelus_griseus" "ND3" 9630 9979 70 72
"17342" "Mustelus_griseus" "ND4L" 10049 10346 -7 70
"17343" "Mustelus_griseus" "ND4" 10339 11720 208 -7
"17344" "Mustelus_griseus" "ND5" 11928 13758 -5 208
"17345" "Mustelus_griseus" "ND6" 13753 14275 72 -5
"17346" "Mustelus_griseus" "CytB" 14347 15492 34508 72
"15891" "Mustelus_manazo" "ND1" 2839 3814 211 2839
"15892" "Mustelus_manazo" "ND2" 4025 5072 388 211
"15893" "Mustelus_manazo" "COX1" 5460 7017 152 388
"15894" "Mustelus_manazo" "COX2" 7169 7860 75 152
"15895" "Mustelus_manazo" "ATP8" 7935 8103 -10 75
"15896" "Mustelus_manazo" "ATP6" 8093 8777 -1 -10
"15897" "Mustelus_manazo" "COX3" 8776 9562 72 -1
"15898" "Mustelus_manazo" "ND3" 9634 9985 68 72
"15899" "Mustelus_manazo" "ND4L" 10053 10350 -7 68
"15900" "Mustelus_manazo" "ND4" 10343 11724 208 -7
"15901" "Mustelus_manazo" "ND5" 11932 13762 -5 208
"15902" "Mustelus_manazo" "ND6" 13757 14279 72 -5
"15903" "Mustelus_manazo" "CytB" 14351 15497 34503 72
"21704" "Myctophum_affine" "ND1" 2904 3879 308 2904
"21705" "Myctophum_affine" "ND2" 4187 5234 456 308
"21706" "Myctophum_affine" "COX1" 5690 7238 167 456
"21707" "Myctophum_affine" "COX2" 7405 8096 77 167
"21708" "Myctophum_affine" "ATP8" 8173 8341 -10 77
"21709" "Myctophum_affine" "ATP6" 8331 9015 16 -10
"21710" "Myctophum_affine" "COX3" 9031 9817 71 16
"21711" "Myctophum_affine" "ND3" 9888 10239 73 71
"21712" "Myctophum_affine" "ND4L" 10312 10609 -7 73
"21713" "Myctophum_affine" "ND4" 10602 11983 216 -7
"21714" "Myctophum_affine" "ND5" 12199 14035 16 216
"21715" "Myctophum_affine" "CytB" 14051 15198 170 16
"21716" "Myctophum_affine" "ND6" 15368 15890 34110 170
"25136" "Myiopsitta_monachus" "ND1" 4024 5005 215 4024
"25137" "Myiopsitta_monachus" "ND2" 5220 6260 364 215
"25138" "Myiopsitta_monachus" "COX1" 6624 8172 140 364
"25139" "Myiopsitta_monachus" "COX2" 8312 8996 71 140
"25140" "Myiopsitta_monachus" "ATP8" 9067 9235 -10 71
"25141" "Myiopsitta_monachus" "ATP6" 9225 9909 -1 -10
"25142" "Myiopsitta_monachus" "COX3" 9908 10692 69 -1
"25143" "Myiopsitta_monachus" "ND3" 10761 11112 70 69
"25144" "Myiopsitta_monachus" "ND4L" 11182 11479 -7 70
"25145" "Myiopsitta_monachus" "ND4" 11472 12865 205 -7
"25146" "Myiopsitta_monachus" "ND5" 13070 14885 11 205
"25147" "Myiopsitta_monachus" "CytB" 14896 16036 143 11
"25148" "Myiopsitta_monachus" "ND6" 16179 16683 33317 143
"45654" "Myleus_sp._NM-2010" "ND1" 2854 3829 218 2854
"45655" "Myleus_sp._NM-2010" "ND2" 4047 5092 390 218
"45656" "Myleus_sp._NM-2010" "COX1" 5482 7039 154 390
"45657" "Myleus_sp._NM-2010" "COX2" 7193 7885 75 154
"45658" "Myleus_sp._NM-2010" "ATP8" 7960 8128 -10 75
"45659" "Myleus_sp._NM-2010" "ATP6" 8118 8801 0 -10
"45660" "Myleus_sp._NM-2010" "COX3" 8801 9586 72 0
"45661" "Myleus_sp._NM-2010" "ND3" 9658 10007 70 72
"45662" "Myleus_sp._NM-2010" "ND4L" 10077 10374 -7 70
"45663" "Myleus_sp._NM-2010" "ND4" 10367 11748 213 -7
"45664" "Myleus_sp._NM-2010" "ND5" 11961 13800 -4 213
"45665" "Myleus_sp._NM-2010" "ND6" 13796 14315 75 -4
"45666" "Myleus_sp._NM-2010" "CytB" 14390 15531 34469 75
"16983" "Mylocheilus_caurinus" "ND1" 2865 3840 215 2865
"16984" "Mylocheilus_caurinus" "ND2" 4055 5100 388 215
"16985" "Mylocheilus_caurinus" "COX1" 5488 7039 159 388
"16986" "Mylocheilus_caurinus" "COX2" 7198 7889 77 159
"16987" "Mylocheilus_caurinus" "ATP8" 7966 8131 -7 77
"16988" "Mylocheilus_caurinus" "ATP6" 8124 8808 -1 -7
"16989" "Mylocheilus_caurinus" "COX3" 8807 9591 72 -1
"16990" "Mylocheilus_caurinus" "ND3" 9663 10012 69 72
"16991" "Mylocheilus_caurinus" "ND4L" 10081 10378 -7 69
"16992" "Mylocheilus_caurinus" "ND4" 10371 11753 212 -7
"16993" "Mylocheilus_caurinus" "ND5" 11965 13801 -4 212
"16994" "Mylocheilus_caurinus" "ND6" 13797 14319 74 -4
"16995" "Mylocheilus_caurinus" "CytB" 14393 15534 34466 74
"20299" "Mylochromis_lateristriga" "ND1" 2846 3821 211 2846
"20300" "Mylochromis_lateristriga" "ND2" 4032 4695 770 211
"20301" "Mylochromis_lateristriga" "COX1" 5465 7055 155 770
"20302" "Mylochromis_lateristriga" "COX2" 7210 7901 75 155
"20303" "Mylochromis_lateristriga" "ATP8" 7976 8144 -10 75
"20304" "Mylochromis_lateristriga" "ATP6" 8134 8818 -1 -10
"20305" "Mylochromis_lateristriga" "COX3" 8817 9601 72 -1
"20306" "Mylochromis_lateristriga" "ND3" 9673 10022 69 72
"20307" "Mylochromis_lateristriga" "ND4L" 10091 10388 -7 69
"20308" "Mylochromis_lateristriga" "ND4" 10381 11762 213 -7
"20309" "Mylochromis_lateristriga" "ND5" 11975 13814 -4 213
"20310" "Mylochromis_lateristriga" "ND6" 13810 14332 73 -4
"20311" "Mylochromis_lateristriga" "CytB" 14405 15546 34454 73
"15371" "Mylopharyngodon_piceus" "ND1" 2873 3848 215 2873
"15372" "Mylopharyngodon_piceus" "ND2" 4063 5108 385 215
"15373" "Mylopharyngodon_piceus" "COX1" 5493 7044 161 385
"15374" "Mylopharyngodon_piceus" "COX2" 7205 7896 77 161
"15375" "Mylopharyngodon_piceus" "ATP8" 7973 8138 -7 77
"15376" "Mylopharyngodon_piceus" "ATP6" 8131 8815 -1 -7
"15377" "Mylopharyngodon_piceus" "COX3" 8814 9599 72 -1
"15378" "Mylopharyngodon_piceus" "ND3" 9671 10020 70 72
"15379" "Mylopharyngodon_piceus" "ND4L" 10090 10387 -7 70
"15380" "Mylopharyngodon_piceus" "ND4" 10380 11762 212 -7
"15381" "Mylopharyngodon_piceus" "ND5" 11974 13810 -4 212
"15382" "Mylopharyngodon_piceus" "ND6" 13806 14328 73 -4
"15383" "Mylopharyngodon_piceus" "CytB" 14401 15542 34458 73
"40453" "Myodes_glareolus" "ND1" 2733 3688 207 2733
"40454" "Myodes_glareolus" "ND2" 3895 4930 378 207
"40455" "Myodes_glareolus" "COX1" 5308 6853 138 378
"40456" "Myodes_glareolus" "COX2" 6991 7675 67 138
"40457" "Myodes_glareolus" "ATP8" 7742 7946 -43 67
"40458" "Myodes_glareolus" "ATP6" 7903 8583 0 -43
"40459" "Myodes_glareolus" "COX3" 8583 9367 69 0
"40460" "Myodes_glareolus" "ND3" 9436 9784 72 69
"40461" "Myodes_glareolus" "ND4L" 9856 10153 -7 72
"40462" "Myodes_glareolus" "ND4" 10146 11524 196 -7
"40463" "Myodes_glareolus" "ND5" 11720 13532 -4 196
"40464" "Myodes_glareolus" "ND6" 13528 14053 74 -4
"40465" "Myodes_glareolus" "CytB" 14127 15270 34730 74
"16346" "Myodes_regulus" "ND1" 2733 3688 207 2733
"16347" "Myodes_regulus" "ND2" 3895 4930 378 207
"16348" "Myodes_regulus" "COX1" 5308 6853 138 378
"16349" "Myodes_regulus" "COX2" 6991 7675 67 138
"16350" "Myodes_regulus" "ATP8" 7742 7946 -43 67
"16351" "Myodes_regulus" "ATP6" 7903 8584 -1 -43
"16352" "Myodes_regulus" "COX3" 8583 9367 69 -1
"16353" "Myodes_regulus" "ND3" 9436 9784 70 69
"16354" "Myodes_regulus" "ND4L" 9854 10151 -7 70
"16355" "Myodes_regulus" "ND4" 10144 11522 196 -7
"16356" "Myodes_regulus" "ND5" 11718 13530 -4 196
"16357" "Myodes_regulus" "ND6" 13526 14051 74 -4
"16358" "Myodes_regulus" "CytB" 14125 15268 34732 74
"42453" "Myodes_rufocanus" "ND1" 2732 3687 206 2732
"42454" "Myodes_rufocanus" "ND2" 3893 4928 377 206
"42455" "Myodes_rufocanus" "COX1" 5305 6850 138 377
"42456" "Myodes_rufocanus" "COX2" 6988 7672 67 138
"42457" "Myodes_rufocanus" "ATP8" 7739 7943 -43 67
"42458" "Myodes_rufocanus" "ATP6" 7900 8581 -1 -43
"42459" "Myodes_rufocanus" "COX3" 8580 9364 69 -1
"42460" "Myodes_rufocanus" "ND3" 9433 9781 70 69
"42461" "Myodes_rufocanus" "ND4L" 9851 10148 -7 70
"42462" "Myodes_rufocanus" "ND4" 10141 11519 196 -7
"42463" "Myodes_rufocanus" "ND5" 11715 13527 -4 196
"42464" "Myodes_rufocanus" "ND6" 13523 14048 74 -4
"42465" "Myodes_rufocanus" "CytB" 14122 15265 34735 74
"19584" "Myomyrus_macrops" "ND1" 2920 3892 211 2920
"19585" "Myomyrus_macrops" "ND2" 4103 5148 387 211
"19586" "Myomyrus_macrops" "COX1" 5535 7095 148 387
"19587" "Myomyrus_macrops" "COX2" 7243 7934 75 148
"19588" "Myomyrus_macrops" "ATP8" 8009 8177 -10 75
"19589" "Myomyrus_macrops" "ATP6" 8167 8851 -1 -10
"19590" "Myomyrus_macrops" "COX3" 8850 9634 72 -1
"19591" "Myomyrus_macrops" "ND3" 9706 10055 71 72
"19592" "Myomyrus_macrops" "ND4L" 10126 10423 -7 71
"19593" "Myomyrus_macrops" "ND4" 10416 11797 210 -7
"19594" "Myomyrus_macrops" "ND5" 12007 13849 -5 210
"19595" "Myomyrus_macrops" "ND6" 13844 14366 72 -5
"19596" "Myomyrus_macrops" "CytB" 14438 15579 34421 72
"28194" "Myospalax_aspalax" "ND1" 2895 3850 210 2895
"28195" "Myospalax_aspalax" "ND2" 4060 5102 380 210
"28196" "Myospalax_aspalax" "COX1" 5482 7027 137 380
"28197" "Myospalax_aspalax" "COX2" 7164 7848 68 137
"28198" "Myospalax_aspalax" "ATP8" 7916 8120 -43 68
"28199" "Myospalax_aspalax" "ATP6" 8077 8758 -1 -43
"28200" "Myospalax_aspalax" "COX3" 8757 9541 69 -1
"28201" "Myospalax_aspalax" "ND3" 9610 9958 69 69
"28202" "Myospalax_aspalax" "ND4L" 10027 10324 -7 69
"28203" "Myospalax_aspalax" "ND4" 10317 11695 197 -7
"28204" "Myospalax_aspalax" "ND5" 11892 13722 -17 197
"28205" "Myospalax_aspalax" "ND6" 13705 14230 73 -17
"28206" "Myospalax_aspalax" "CytB" 14303 15441 34559 73
"22250" "Myospalax_psilurus" "ND1" 2722 3677 209 2722
"22251" "Myospalax_psilurus" "ND2" 3886 4928 384 209
"22252" "Myospalax_psilurus" "COX1" 5312 6857 137 384
"22253" "Myospalax_psilurus" "COX2" 6994 7679 67 137
"22254" "Myospalax_psilurus" "ATP8" 7746 7950 -43 67
"22255" "Myospalax_psilurus" "ATP6" 7907 8588 -1 -43
"22256" "Myospalax_psilurus" "COX3" 8587 9371 69 -1
"22257" "Myospalax_psilurus" "ND3" 9440 9788 68 69
"22258" "Myospalax_psilurus" "ND4L" 9856 10153 -7 68
"22259" "Myospalax_psilurus" "ND4" 10146 11524 198 -7
"22260" "Myospalax_psilurus" "ND5" 11722 13552 -17 198
"22261" "Myospalax_psilurus" "ND6" 13535 14060 73 -17
"22262" "Myospalax_psilurus" "CytB" 14133 15271 34729 73
"38463" "Myotis_bombinus" "ND1" 2762 3718 210 2762
"38464" "Myotis_bombinus" "ND2" 3928 4970 383 210
"38465" "Myotis_bombinus" "COX1" 5353 6898 156 383
"38466" "Myotis_bombinus" "COX2" 7054 7738 71 156
"38467" "Myotis_bombinus" "ATP8" 7809 8013 -43 71
"38468" "Myotis_bombinus" "ATP6" 7970 8651 -1 -43
"38469" "Myotis_bombinus" "COX3" 8650 9434 69 -1
"38470" "Myotis_bombinus" "ND3" 9503 9850 70 69
"38471" "Myotis_bombinus" "ND4L" 9920 10217 -7 70
"38472" "Myotis_bombinus" "ND4" 10210 11588 198 -7
"38473" "Myotis_bombinus" "ND5" 11786 13607 -17 198
"38474" "Myotis_bombinus" "ND6" 13590 14118 76 -17
"38475" "Myotis_bombinus" "CytB" 14194 15334 34666 76
"19232" "Myotis_brandtii" "ND1" 2757 3717 206 2757
"19233" "Myotis_brandtii" "ND2" 3923 4965 383 206
"19234" "Myotis_brandtii" "COX1" 5348 6893 156 383
"19235" "Myotis_brandtii" "COX2" 7049 7733 71 156
"19236" "Myotis_brandtii" "ATP8" 7804 8008 -43 71
"19237" "Myotis_brandtii" "ATP6" 7965 8646 -1 -43
"19238" "Myotis_brandtii" "COX3" 8645 9429 70 -1
"19239" "Myotis_brandtii" "ND3" 9499 9845 71 70
"19240" "Myotis_brandtii" "ND4L" 9916 10213 -7 71
"19241" "Myotis_brandtii" "ND4" 10206 11584 197 -7
"19242" "Myotis_brandtii" "ND5" 11781 13590 -17 197
"19243" "Myotis_brandtii" "ND6" 13573 14101 74 -17
"19244" "Myotis_brandtii" "CytB" 14175 15315 34685 74
"29117" "Myotis_davidii" "ND1" 2751 3707 210 2751
"29118" "Myotis_davidii" "ND2" 3917 4959 383 210
"29119" "Myotis_davidii" "COX1" 5342 6887 156 383
"29120" "Myotis_davidii" "COX2" 7043 7727 72 156
"29121" "Myotis_davidii" "ATP8" 7799 8003 -43 72
"29122" "Myotis_davidii" "ATP6" 7960 8641 -1 -43
"29123" "Myotis_davidii" "COX3" 8640 9424 69 -1
"29124" "Myotis_davidii" "ND3" 9493 9839 71 69
"29125" "Myotis_davidii" "ND4L" 9910 10207 -7 71
"29126" "Myotis_davidii" "ND4" 10200 11578 199 -7
"29127" "Myotis_davidii" "ND5" 11777 13598 -17 199
"29128" "Myotis_davidii" "ND6" 13581 14109 76 -17
"29129" "Myotis_davidii" "CytB" 14185 15325 34675 76
"29130" "Myotis_formosus" "ND1" 2747 3703 208 2747
"29131" "Myotis_formosus" "ND2" 3911 4953 382 208
"29132" "Myotis_formosus" "COX1" 5335 6880 156 382
"29133" "Myotis_formosus" "COX2" 7036 7720 72 156
"29134" "Myotis_formosus" "ATP8" 7792 7996 -43 72
"29135" "Myotis_formosus" "ATP6" 7953 8634 -1 -43
"29136" "Myotis_formosus" "COX3" 8633 9417 69 -1
"29137" "Myotis_formosus" "ND3" 9486 9833 70 69
"29138" "Myotis_formosus" "ND4L" 9903 10200 -7 70
"29139" "Myotis_formosus" "ND4" 10193 11571 198 -7
"29140" "Myotis_formosus" "ND5" 11769 13590 -17 198
"29141" "Myotis_formosus" "ND6" 13573 14101 76 -17
"29142" "Myotis_formosus" "CytB" 14177 15317 34683 76
"22887" "Myotis_ikonnikovi" "ND1" 2750 3706 209 2750
"22888" "Myotis_ikonnikovi" "ND2" 3915 4957 384 209
"22889" "Myotis_ikonnikovi" "COX1" 5341 6886 156 384
"22890" "Myotis_ikonnikovi" "COX2" 7042 7726 72 156
"22891" "Myotis_ikonnikovi" "ATP8" 7798 8002 -43 72
"22892" "Myotis_ikonnikovi" "ATP6" 7959 8640 -1 -43
"22893" "Myotis_ikonnikovi" "COX3" 8639 9423 69 -1
"22894" "Myotis_ikonnikovi" "ND3" 9492 9838 71 69
"22895" "Myotis_ikonnikovi" "ND4L" 9909 10206 -7 71
"22896" "Myotis_ikonnikovi" "ND4" 10199 11577 198 -7
"22897" "Myotis_ikonnikovi" "ND5" 11775 13596 -17 198
"22898" "Myotis_ikonnikovi" "ND6" 13579 14107 75 -17
"22899" "Myotis_ikonnikovi" "CytB" 14182 15322 34678 75
"12434" "Myotis_lucifugus" "ND1" 2755 3711 209 2755
"12435" "Myotis_lucifugus" "ND2" 3920 4962 381 209
"12436" "Myotis_lucifugus" "COX1" 5343 6888 157 381
"12437" "Myotis_lucifugus" "COX2" 7045 7729 71 157
"12438" "Myotis_lucifugus" "ATP8" 7800 8004 -43 71
"12439" "Myotis_lucifugus" "ATP6" 7961 8642 -1 -43
"12440" "Myotis_lucifugus" "COX3" 8641 9425 69 -1
"12441" "Myotis_lucifugus" "ND3" 9494 9841 70 69
"12442" "Myotis_lucifugus" "ND4L" 9911 10208 -7 70
"12443" "Myotis_lucifugus" "ND4" 10201 11579 197 -7
"12444" "Myotis_lucifugus" "ND5" 11776 13585 -17 197
"12445" "Myotis_lucifugus" "ND6" 13568 14096 74 -17
"12446" "Myotis_lucifugus" "CytB" 14170 15310 34690 74
"26501" "Myotis_macrodactylus" "ND1" 2752 3708 210 2752
"26502" "Myotis_macrodactylus" "ND2" 3918 4960 383 210
"26503" "Myotis_macrodactylus" "COX1" 5343 6888 155 383
"26504" "Myotis_macrodactylus" "COX2" 7043 7727 72 155
"26505" "Myotis_macrodactylus" "ATP8" 7799 8003 -43 72
"26506" "Myotis_macrodactylus" "ATP6" 7960 8641 -1 -43
"26507" "Myotis_macrodactylus" "COX3" 8640 9424 69 -1
"26508" "Myotis_macrodactylus" "ND3" 9493 9840 70 69
"26509" "Myotis_macrodactylus" "ND4L" 9910 10207 -7 70
"26510" "Myotis_macrodactylus" "ND4" 10200 11578 198 -7
"26511" "Myotis_macrodactylus" "ND5" 11776 13597 -17 198
"26512" "Myotis_macrodactylus" "ND6" 13580 14108 75 -17
"26513" "Myotis_macrodactylus" "CytB" 14183 15323 34677 75
"23108" "Myotis_muricola" "ND1" 2755 3711 210 2755
"23109" "Myotis_muricola" "ND2" 3921 4963 381 210
"23110" "Myotis_muricola" "COX1" 5344 6889 154 381
"23111" "Myotis_muricola" "COX2" 7043 7727 72 154
"23112" "Myotis_muricola" "ATP8" 7799 8003 -43 72
"23113" "Myotis_muricola" "ATP6" 7960 8641 -1 -43
"23114" "Myotis_muricola" "COX3" 8640 9424 69 -1
"23115" "Myotis_muricola" "ND3" 9493 9840 70 69
"23116" "Myotis_muricola" "ND4L" 9910 10207 -7 70
"23117" "Myotis_muricola" "ND4" 10200 11578 198 -7
"23118" "Myotis_muricola" "ND5" 11776 13597 -17 198
"23119" "Myotis_muricola" "ND6" 13580 14108 75 -17
"23120" "Myotis_muricola" "CytB" 14183 15323 34677 75
"10936" "Myotis_myotis" "ND1" 2755 3711 210 2755
"10937" "Myotis_myotis" "ND2" 3921 4963 381 210
"10938" "Myotis_myotis" "COX1" 5344 6889 157 381
"10939" "Myotis_myotis" "COX2" 7046 7730 71 157
"10940" "Myotis_myotis" "ATP8" 7801 8005 -43 71
"10941" "Myotis_myotis" "ATP6" 7962 8643 -1 -43
"10942" "Myotis_myotis" "COX3" 8642 9426 69 -1
"10943" "Myotis_myotis" "ND3" 9495 9842 70 69
"10944" "Myotis_myotis" "ND4L" 9912 10209 -7 70
"10945" "Myotis_myotis" "ND4" 10202 11580 198 -7
"10946" "Myotis_myotis" "ND5" 11778 13598 -16 198
"10947" "Myotis_myotis" "ND6" 13582 14110 75 -16
"10948" "Myotis_myotis" "CytB" 14185 15325 34675 75
"42388" "Myotis_petax" "ND1" 4716 5672 210 4716
"42389" "Myotis_petax" "ND2" 5882 6924 384 210
"42390" "Myotis_petax" "COX1" 7308 8853 156 384
"42391" "Myotis_petax" "COX2" 9009 9693 73 156
"42392" "Myotis_petax" "ATP8" 9766 9970 -43 73
"42393" "Myotis_petax" "ATP6" 9927 10608 -1 -43
"42394" "Myotis_petax" "COX3" 10607 11391 69 -1
"42395" "Myotis_petax" "ND3" 11460 11807 70 69
"42396" "Myotis_petax" "ND4L" 11877 12174 -7 70
"42397" "Myotis_petax" "ND4" 12167 13545 200 -7
"42398" "Myotis_petax" "ND5" 13745 15566 -17 200
